datetime, liquid_level, EC, TDS, SAL, temperature, humidity, ph, par
2020-04-26 22:16:50, 0, 0.00, 0, 00.00, 20.5°C, 47.57%, 10.7267246246, 1208.1343642441125
2020-04-26 22:17:02, 0, 0.0., 0, 0.00, 20.5°C, 47.57%, 10.7267246246, 1208.1343642441125
